job title,job requirements
Live Studio Producer,"['support', 'challenging', 'reward', 'career', 'charge', 'evolve', 'studio', 'product', 'join', 'team', 'storyteller', 'role']"
Student Contact & Recruitment Officer,"['opportunity', 'travel', 'recruitment', 'bonus', 'visa', 'holder']"
School Photographers,"['amaze', 'culture', 'live', 'breath', 'vehicle', 'provide', 'perth', 'wa']"
Media Coordinator,"['culture', 'performing', 'team', 'thrive', 'fast', 'pace', 'team', 'environment', 'opportunity', 'learn', 'implement', 'medium', 'campaign']"
Business Development Manager,"['role', 'cooperation', 'manage', 'director', 'team', 'team', 'culture', 'oversight', 'range', 'account']"
Client Solutions Manager (Key Accounts & Consortium) - Marketing & Advertising,"['join', 'cross', 'creative', 'team', 'create', 'idea', 'advertising', 'solution', 'client', 'client', 'news', 'corp', 'australia']"
OzAsia Festival Coordinator,"['time', 'vacancy', 'term', 'contract', 'base', 'riverside', 'precinct', 'adelaide', 'festival', 'centre', 'experience', 'coordinate', 'support', 'delivery', 'event', 'festival']"
Senior Mechanist - Flying,"['train', 'opportunity', 'vibrant', 'team', 'technology']"
Video Editor,"['hour', 'week', 'wednesday', 'report', 'manager', 'brand', 'office', 'teneriffe', 'scale', 'production', 'editing', 'recruitment', 'fast', 'grow', 'podcast']"
Deputy Editor of Print,"['pride', 'honest', 'company', 'expect', 'team', 'multi', 'platform', 'medium', 'organisation', 'age', 'care', 'website', 'team']"
Company and Tour Manager,"['production', 'company', 'fun', 'environment', 'team', 'hand', 'role', 'responsibility']"
Investigations Producer,"['hunt', 'break', 'story', 'set', 'agenda', 'story', 'sky', 'news', 'multi', 'platform', 'audience']"
Media Manager (Planning & Buying Agency),"['scope', 'lead', 'manage', 'team', 'opportunity', 'progression', 'thrive', 'fast', 'pace', 'team', 'environment', 'passion', 'medium', 'plan', 'buying', 'skill', 'experience']"
Manager - Marketing & Client Solutions,"['medium', 'organisation', 'autonomy', 'arrangement', 'culture', 'promote', 'growth', 'reward', 'initiative']"
Registered Civil Celebrant /All Rounder Sales and Admin,"['option', 'choice', 'day', 'day', 'environment', 'variety', 'style', 'customer', 'service', 'fun', 'team', 'people', 'marriage', 'registry', 'venue']"
Cadet Journalist,"['opportunity', 'journalist', 'start', 'career', 'variety', 'story', 'cover', 'day', 'stretch', 'write', 'skill', 'support', 'mentoring', 'journalist']"
Videographer,"['team', 'culture', 'recognise', 'brand', 'reward', 'career', 'subject', 'film']"
Sports Reporter - news.com.au,"['join', 'australia', 'news', 'website', 'impact', 'channel', 'role', 'require', 'weekend', 'evening']"
Digital Content Producer - Australian Women's Weekly Food,"['join', 'lead', 'company', 'australia', 'woman', 'content', 'cbd', 'location']"
Cadet Journalist,"['support', 'training', 'mentor', 'editor', 'access', 'news', 'corp', 'amaze', 'benefit', 'month', 'program', 'commencing', 'july']"
Content Creator,"['base', 'packaging', 'benefit', 'position', 'content', 'creator', 'base', 'milton', 'day', 'week', 'wfh', 'hour', 'onsite', 'park']"
Videographer,"['time', 'employment', 'base', 'wa', 'entry', 'level', 'role', 'brand']"
Video Producer (Contract),"['brand', 'franchise', 'business', 'sharpen', 'skill', 'range', 'client', 'platform', 'culture', 'encourage', 'growth', 'development']"
Editor,"['opportunity', 'idea', 'author', 'material', 'hour', 'remote', 'team']"
News Writer/Editor - Body+Soul,"['pay', 'birthday', 'volunteer', 'leave', 'health', 'wellbeing', 'medium', 'brand', 'create', 'content', 'body', 'soul', 'print', 'platform']"
Art Studio Manager,"['unique', 'opportunity', 'art', 'industry', 'benefit', 'subsidise', 'accomodation', 'workplace', 'view']"
Creative Screen Play Writer,"['fun', 'culture', 'lot', 'growth', 'opportunity', 'pay', 'incentive', 'bonus']"
Community Development Officer (Art Events and Programs),"['annum', 'variety', 'health', 'wellbeing', 'program', 'culture', 'learn', 'training', 'development', 'opportunity']"
Northern Chief of Staff,"['thrive', 'news', 'environment', 'fun', 'performing', 'team', 'commit', 'professional', 'growth']"
Advertising Officer,"['base', 'communication', 'marketing', 'city', 'campus', 'time', 'term', 'contract', 'arrangement', 'superannuation']"
Journalist,"['join', 'team', 'journalist', 'broadcaster', 'discover', 'story', 'outback', 'australia', 'environment', 'facility']"
Account Manager - Direct Sales,"['culture', 'team', 'brand']"
Content and Campaign Strategist,"['drive', 'client', 'campaign', 'content', 'strategy', 'opportunity', 'innovate', 'challenge', 'norm', 'pioneer', 'brand']"
Retail Media Executive (Direct),"['asx', 'list', 'company', 'market', 'lead', 'benefit', 'environment', 'earn', 'market', 'leader']"
Digital News Writer - Aviation,"['market', 'intelligence', 'aviation', 'travel', 'industry', 'sydney', 'cbd', 'office', 'day', 'week', 'day', 'volunteer', 'day']"
Direct Sales Executive,"['opportunity', 'join', 'medium', 'entertainment', 'company', 'opportunity', 'perth', 'market', 'opportunity', 'progress']"
Team Leader Community Engagement,"['remuneration', 'career', 'development', 'opportunity', 'join', 'performing', 'team', 'lead', 'railway', 'operator', 'card', 'travel', 'discount']"
Broadcast / AV Tech,"['office', 'hour', 'career', 'path', 'job', 'train', 'location']"
National Event Operations Coordinator,"['role', 'lead', 'sport', 'organisation', 'time', 'ongoing', 'role', 'event', 'location']"
Daily Briefings Editor,"['combine', 'write', 'journalism', 'experience', 'news', 'month', 'term', 'contract', 'sunday', 'thursday', '5am', '10am']"
